RutClienteEnvia,NombreClienteEnvia,IdTransaccion,RutClienteRecibe,NombreClienteRecibe,CodigoBancoReceptor,NombreBancoReceptor,MontoTransferencia,MonedaTransferencia,FechaTransferencia
14346544-0,Dalila Figueroa-Coello,4UVWXGWE19,11910418-1,Vinicio del Exposito,49,Banco Falabella,5309066,EUR,30/06/2023
18041867-3,Amado Estévez Céspedes,2LQU4QV3TA,11295343-3,Cirino Esteve Oliver,1,Banco de Chile,7277326,EUR,21/11/2023
21983093-4,Marcial Casanovas-Bru,Z07TMO18BH,14215330-5,Merche Arregui Fuertes,28,Banco BICE,2900683,CLP,25/08/2022
14958107-9,Rafael del Olivera,CG74UBCHY1,18424145-2,Ibán de Cortés,39,Banco Estado,5821480,CLP,01/09/2023
21894340-1,Bruno Javier Alegria Tejada,4R00FAD8AC,21022435-7,Eugenia Menendez,37,Banco Security,6243581,CLP,06/11/2023
21265568-6,Leandro Borja Gonzalo,3J74X6NLY8,24326184-0,Miguel de Perez,37,Banco Security,5443857,EUR,19/03/2023
23609179-3,Eduardo Pedrosa Campillo,IQ8AY2RKFA,21880489-3,Eufemia Morales Tejera,14,Scotiabank,8647836,EUR,17/04/2024
11404291-4,Flora Asensio Bayona,Y71TVZMUV9,23091801-0,Casandra del Ros,49,Banco Falabella,2128899,EUR,15/04/2023
10671386-6,Clemente Roig,XMA8BUFUW3,22222280-7,Fabián Hernán Sabater Segarra,14,Scotiabank,5277427,CLP,24/10/2023
20129191-2,Bernabé Monreal Redondo,ZEULSG8R6Q,24574161-7,Patricia Perez Maestre,39,Banco Estado,812835,USD,31/12/2023
23729674-4,Ileana Pellicer Royo,Y7E0M55L91,18555462-3,Julio César Aguiló Quevedo,37,Banco Security,1640229,CLP,13/07/2022
17381463-0,Octavio Giralt-Chaves,KZVXZ3PFBE,15373169-7,Wilfredo Prieto,51,Banco Itaú,1619556,EUR,08/02/2024
19771504-5,Espiridión Cabezas,RFV2OH4VFD,10265611-4,Sancho Jara Badía,9,Banco Internacional,3901449,USD,30/01/2024
13896643-9,Lola Pascual Mesa,YKAGAWZA42,11013005-2,Victoriano del Báez,39,Banco Estado,2464290,USD,15/08/2022
24905651-1,Leonor Saez Zorrilla,8YJCTQ6YLV,11460514-9,Áurea Palau Folch,55,Banco Consorcio,3663899,CLP,03/12/2023
24807870-1,Artemio Garcés Marín,ZNZODN298V,14397903-6,Carmina Pol Pellicer,9,Banco Internacional,7526718,EUR,26/06/2022
17640271-5,Aristides Farré,HWZ8LG55ZL,14707256-4,Roxana Baquero Cano,55,Banco Consorcio,6965635,USD,13/05/2024
22221718-3,Armando Lozano Pujol,ZT2747YMYV,19724581-4,Pío Gervasio Verdugo Bertrán,55,Banco Consorcio,877237,USD,20/06/2022
19623032-9,Felipa Adadia-Lluch,UACWZGV49Q,12698953-7,Gilberto Giralt,9,Banco Internacional,5378609,CLP,13/04/2024
16155812-7,Joel Garrido Molina,3SP6ZUHERJ,10338927-0,Lalo Aragón,55,Banco Consorcio,1654505,CLP,17/07/2022
18383892-8,Ágata Antúnez,TP10IVZANG,19351760-5,Ruth de Escalona,49,Banco Falabella,1083625,CLP,03/04/2023
15876515-5,Vito Carro,Z2BYGVVD90,11442172-4,Herminia Lara Frutos,55,Banco Consorcio,8121225,EUR,02/12/2022
21587525-1,Elisabet Ágata Baena Escalona,1QLG8EJ3NT,14600914-0,Morena Ibarra-Garriga,28,Banco BICE,3298157,EUR,28/12/2023
10203487-7,Arcelia del Gálvez,ZIS99CVCTQ,16583474-0,Eloy Sotelo,55,Banco Consorcio,3857539,CLP,26/06/2023
13403079-0,Fulgencio Castañeda Vega,M94MFHHITV,23860441-3,Odalis Salinas Lopez,14,Scotiabank,5080909,USD,12/12/2022
15518005-5,Vasco Bilbao Isern,7FVMZSGT7P,17478954-4,Rosario Céspedes,14,Scotiabank,3210273,EUR,03/02/2024
14802948-6,Celia del Camino,JXV2RZDHY9,16054392-0,Chucho Ramirez,39,Banco Estado,8032165,EUR,13/05/2024
10172315-6,Evita Cuesta Agudo,T1ROWZ1U2S,11964039-3,Amaro del Villalonga,16,Banco Santander,4123053,USD,17/10/2022
24964691-3,Zoraida Landa Milla,PUKNI8KCX3,23780852-6,Eusebia Guillén Flor,39,Banco Estado,8852548,CLP,29/06/2023
10497318-2,Zaida Diaz Barreda,UKRQSREMU5,19728669-6,Cecilia Pedro Manzanares,51,Banco Itaú,8546609,USD,20/03/2024
20045289-7,Lupe Varela Samper,XYGA5HVM4F,22091104-1,Rosalía Caro,51,Banco Itaú,5590188,USD,03/04/2023
16518593-6,Melchor Prado,OOFAOHDE70,11553009-1,Francisco Jose Carrillo Arellano,1,Banco de Chile,9365536,EUR,27/09/2022
23551417-6,Primitiva Torrents,V179YXMC8F,24410816-6,Alma Piquer Gelabert,1,Banco de Chile,644177,USD,01/01/2023
18640078-6,Gabriela Sandra Fabregat Báez,6F3DDL1CZX,15223942-0,Marcia Sureda Vara,39,Banco Estado,3840835,CLP,29/03/2024
19335107-2,Claudio Porras,GY0OA1IXN0,22396913-7,Isaura Ojeda Mínguez,14,Scotiabank,5019180,CLP,06/08/2023
13449402-9,Abilio Barceló Morán,U3ZC0WNYD5,11221870-6,Casandra Egea Gaya,49,Banco Falabella,1956162,EUR,12/10/2022
21237387-3,Armida López Ojeda,M112J8U89O,22851431-7,Paloma de Caro,1,Banco de Chile,1410871,EUR,25/06/2023
13419356-1,Clarisa Gallo Galvez,R7392Q651N,21876257-8,Aitor Gibert Avilés,51,Banco Itaú,2221460,CLP,10/03/2023
16261501-8,Francisco Jose Borja Arranz,BY5EED7KQS,16802035-1,Baudelio Aguilar Bonet,14,Scotiabank,3620550,USD,24/10/2023
20876483-4,Mauricio Bastida Roura,MHBU7ABH3C,13898068-6,Abril Salcedo-Ramos,9,Banco Internacional,9115379,EUR,20/10/2022
15140622-9,Isabel Alcántara Montoya,1SE37ZO71D,12159147-4,Jenny Castejón-Sans,14,Scotiabank,8172383,USD,01/06/2024
10163367-1,Luis Ángel Miró,47CPJLO5E3,21506360-7,Leandra Anaya Muro,51,Banco Itaú,8151716,CLP,27/08/2022
13904401-8,Perlita Aragonés Calleja,G971JC7QVQ,24019840-7,Apolonia del Valencia,14,Scotiabank,392043,CLP,18/07/2022
13827881-5,Eduardo Díaz-Tomé,2N5ER9K6AA,13545751-3,Gerardo Cantero Arcos,16,Banco Santander,6652441,EUR,26/10/2023
24295662-4,Arsenio Esparza Pina,EKNUS42LSA,21144778-4,Rosalva Niño Torre,39,Banco Estado,2754530,CLP,21/04/2023
24847321-5,Cleto Salinas,UBU0CCVWDE,10365181-8,Ligia Serra-Abellán,49,Banco Falabella,1717727,EUR,12/10/2022
19673475-4,Agustín Piñol Feijoo,CW77K50QLJ,12561362-8,Maximiano Blázquez Sierra,49,Banco Falabella,7535619,CLP,13/01/2023
15342968-9,Gervasio Casanova Soler,GU06TBOYS5,23369680-4,Rosenda Gallo-Castellanos,16,Banco Santander,6024211,CLP,25/01/2023
24740086-2,Anselmo Gonzalo Naranjo,OQZ1XHAID8,24039359-4,Jacinto de Alberto,49,Banco Falabella,5501855,EUR,14/09/2023
22334430-2,Amada Pulido Higueras,ZUFZWBNS54,10375298-7,Marcos Bernal Palau,51,Banco Itaú,4317573,EUR,22/09/2022
19396497-4,Victor Gascón Ruiz,1EFA1WFGDV,22979194-1,Macarena Torrents Medina,49,Banco Falabella,948041,EUR,01/11/2022
16116049-8,Gilberto Guerrero-Salgado,YE94E5P0BM,24511500-2,Silvio Badía Tur,37,Banco Security,884250,EUR,20/01/2024
18474911-7,Remigio Ledesma Castrillo,67F878AT09,19881974-0,Paz Iniesta Conesa,28,Banco BICE,2037200,USD,09/11/2023
21148641-2,Nicolasa Badía Ropero,S31O9HRHJZ,10394238-1,Rubén Camps Arnau,39,Banco Estado,5908521,CLP,30/10/2023
19573570-7,Maxi Hernandez Mata,90YQWFTG7B,22883851-3,Aureliano Valdés Perera,39,Banco Estado,6133317,EUR,28/05/2024
16045974-7,Francisca Medina Pizarro,KPUUNG3H7E,12733437-6,Aníbal Mas Ballesteros,55,Banco Consorcio,3311228,USD,08/02/2024
17271324-0,Griselda Soria-Portillo,H4VB4XS0YG,19965857-9,Camila Batalla-Beltrán,55,Banco Consorcio,1751955,USD,10/03/2024
10110338-2,Clementina Delfina Sanchez Oliva,WZAUZHLLP2,16038845-1,Juan Antonio Cerdá Asenjo,14,Scotiabank,334327,CLP,21/09/2022
10657349-6,Maxi Morán Vélez,R21HAX84T9,19774532-3,Pastor Aurelio Mata Roselló,55,Banco Consorcio,2626859,USD,22/09/2023
17037589-0,Olimpia Millán Arribas,BC799WWNOS,11243708-3,Antonio Pujol Blanch,51,Banco Itaú,3413737,USD,26/12/2022
16871278-7,Dolores María Del Carmen Godoy Tamayo,J5DL956SFU,10284855-2,Mohamed Salgado Alcalá,51,Banco Itaú,9025769,USD,09/01/2024
24115954-4,Francisco Javier Saura Ramírez,X5DDQGXN0F,24197458-6,Ana Sofía Haydée Alvarez Calvo,49,Banco Falabella,1057277,CLP,01/02/2023
24229294-8,Teófila Batlle Viñas,5QJBA0FWKB,24401800-3,Nando Torrent Castilla,14,Scotiabank,3220939,CLP,09/01/2023
17154283-6,Eva María Herranz Chaparro,VYTCRXCIYG,14389833-9,Pastor Benet Miguel,14,Scotiabank,5016194,EUR,12/06/2023
19255450-2,Violeta Costa Carretero,BU29GZNT3Q,24094984-8,Itziar Hurtado-Camps,16,Banco Santander,4941209,CLP,09/06/2023
15774820-9,Encarnación Company,ONTDFXP16C,12565143-5,Jimena Beltran Mendizábal,28,Banco BICE,3638424,USD,15/06/2023
23014841-4,Conrado Marcelo Ramirez Barba,WUC59FCEPO,12959376-2,Teodora Fuente Pagès,37,Banco Security,4334784,EUR,23/12/2022
15345704-0,Fernando del Flor,LZBE9PSG0R,20497081-1,Marianela Rosa Vall,39,Banco Estado,6176560,EUR,02/03/2024
12706194-1,Sofía Lledó Carlos,QAFSDHZ6F3,12172010-3,Aureliano Escrivá Maestre,37,Banco Security,5681656,EUR,07/03/2023
22259447-6,Luís Orozco Plana,T881JHDR5V,24893506-0,María Luisa Río Nadal,16,Banco Santander,9011063,CLP,29/08/2023
14363960-8,Tomás Quirós Blasco,XZKSNG5VAV,21026780-1,Teresita Sainz Pi,14,Scotiabank,9255071,USD,24/06/2022
12709826-5,Claudia Martí-Ávila,DVWBVWW7GD,16700435-8,Belén Alcántara Carreras,49,Banco Falabella,6202903,CLP,18/01/2024
13193127-3,Jordán Demetrio Vega Palacio,U3B4D5HG4B,14438852-5,Candelas Bustos-Sebastián,16,Banco Santander,9379882,CLP,21/01/2024
13053280-1,Venceslás Lucio Collado Gordillo,QGH2QAIA1D,10417405-4,Margarita Gil,49,Banco Falabella,3996440,CLP,08/11/2022
12147492-0,Ángel Bautista Gil,IJFVC5UA9M,16692508-8,Borja Río,49,Banco Falabella,4776423,USD,17/07/2022
16044642-7,Cruz Aurelio Jerez Briones,22NDWKD03R,14622029-7,Catalina Carrión Aguado,39,Banco Estado,4615042,CLP,02/01/2024
16367637-3,Eutimio Villalobos Jimenez,AQU5V49L0V,22191854-8,Fausto Galiano,16,Banco Santander,6516290,USD,06/11/2022
15735542-3,Cebrián Arroyo Garrido,VPBLQF05AF,12806434-9,Tania Antón Calleja,1,Banco de Chile,9902403,EUR,04/09/2023
10331364-7,Emilio del Cadenas,KVSG38GHAO,13650650-1,Sebastian Gisbert-Puerta,16,Banco Santander,9481869,CLP,25/01/2023
15273630-5,Octavia Virginia Balaguer Zapata,LYVPZ18Q9L,15835961-9,Lina Ávila Aranda,51,Banco Itaú,7261159,CLP,30/08/2022
11605569-1,Margarita Zaragoza Rincón,LVXAVJ6IOV,23243169-2,Rubén de Benito,55,Banco Consorcio,2068225,CLP,04/03/2023
12328768-5,Ricardo del Morcillo,U6JWMQDDOJ,16877807-3,Prudencia Tur Palacio,37,Banco Security,8800894,CLP,08/02/2024
15343665-6,Herminia Caparrós Checa,1O8RMEP7IW,22452206-7,Ale Giner Márquez,55,Banco Consorcio,2990495,CLP,08/12/2023
23537487-7,Bonifacio Fabra-Parra,4L3UQ78EJ7,21113881-1,María Jesús Boix-Pedro,55,Banco Consorcio,8168975,USD,03/12/2022
24300880-2,Clarisa Bonilla Parra,URMIASBQ1O,12200238-1,Marcial Vargas Llanos,1,Banco de Chile,8427905,CLP,20/11/2022
17008166-3,Ariel Seguí,E69O1KCSKF,16051523-2,Macarena Vargas Cuevas,16,Banco Santander,4613469,EUR,07/02/2023
18866952-4,Tiburcio Priego Maldonado,G6LKE7WDNS,12467139-3,Jerónimo Pizarro Calderón,28,Banco BICE,8798129,USD,04/09/2023
10570542-7,Heriberto Heraclio Clavero Villaverde,XBKQ9PWQYB,22264015-9,Macaria Hidalgo Padilla,49,Banco Falabella,6095717,EUR,13/10/2022
22960550-3,Rosalía Remedios Cepeda Valls,Z8W1V7IQEL,15468019-2,Julie Cuadrado Rebollo,28,Banco BICE,7937890,CLP,06/03/2024
14401158-8,María Carmen Bustamante Palma,TGQGD9HS6P,21239871-6,Ascensión Castañeda Escrivá,51,Banco Itaú,90962,USD,24/02/2024
17042627-3,Lola Checa Pallarès,FYDSQ7O1NG,24761775-0,María Ochoa Juárez,39,Banco Estado,411385,CLP,23/05/2023
20231401-3,Gloria Barón Roca,03KKTLS7M3,10907826-8,Sancho Lluch Blazquez,16,Banco Santander,2953328,USD,14/08/2023
12055985-6,Luciana de Murcia,A630F7N2R1,10777111-3,Ascensión del Morata,51,Banco Itaú,9672390,EUR,01/12/2022
22727184-6,Elisa Talavera Fernandez,LNHO2L1NIR,18328832-4,Vicenta Malo Saura,1,Banco de Chile,764093,USD,03/08/2022
22557218-7,Macaria del Naranjo,HPGS0MP2A1,20240161-5,Anselmo Pino Bartolomé,16,Banco Santander,1008874,CLP,12/08/2022
11621754-8,Ambrosio Franch,6I1Z1I20LE,16948697-6,Sol Peñalver Dominguez,51,Banco Itaú,1422157,EUR,14/09/2023
24824150-6,Asdrubal Guiomar Tena Lladó,1AV9ZS6V33,17115776-7,Omar Mata Agustín,37,Banco Security,8302052,USD,22/10/2023
14311967-8,Josefina Amores Lerma,5MKN5CZO3W,13057483-9,Coral Río Guitart,55,Banco Consorcio,4831492,EUR,20/12/2023
12731689-8,Sosimo Mosquera,NBF1ZI5MZX,20003222-0,Martín Olivares Tamarit,1,Banco de Chile,3561898,USD,29/04/2023
20943592-4,Ambrosio Cobos,TJBVYCKVOZ,22803586-2,Crescencia Ropero Villalba,28,Banco BICE,8937338,USD,06/03/2024
19065816-0,Gabriela Roberta Bejarano Pascual,5CCL9OJYWD,21902732-5,Luisina Carbó,55,Banco Consorcio,1306306,CLP,03/11/2022
20725024-4,Pelayo Bas Almazán,C9KCC9F7ZB,12034808-2,Chus Amaya Borja,39,Banco Estado,5228449,EUR,26/03/2024
18600429-7,Florencio Juárez Tomás,IJTE1GVPZL,12942890-6,Ruben Ruano Amo,51,Banco Itaú,1716842,USD,25/05/2023
20772237-4,Anselma Oliva Jordá,UEJHK9YEJH,16337103-6,Edgardo Ayuso Díez,49,Banco Falabella,5922804,USD,29/07/2022
12368567-7,Azahara de Gordillo,7Y9CFPN6HE,12408197-3,Jacinto Montesinos,51,Banco Itaú,9852391,USD,29/12/2022
22090411-4,Juan Carballo Barral,QHH1NX52C2,17260409-0,Melania Milla,51,Banco Itaú,7241334,EUR,10/09/2022
21917901-6,Gaspar Vazquez Blazquez,TKMVWM6XW6,14567210-5,José Mari Saura Llorens,9,Banco Internacional,9049978,EUR,27/02/2024
11485644-6,Edu Arana Diego,AZN90I4P9I,17027010-6,Nicolasa Guiomar Luque Berenguer,39,Banco Estado,5442884,EUR,30/10/2023
12083856-8,Plinio Valcárcel Borja,UJKWPJW41I,17530165-4,Santos Miralles Español,49,Banco Falabella,672359,USD,18/07/2022
11478322-4,Chema Garmendia,4U55W9Z76O,18997785-8,Teresita Lastra,39,Banco Estado,88045,CLP,29/05/2024
17273859-5,Rosario Lluch Hidalgo,GZ5A59NTUA,18548523-4,Víctor Valdés Reina,9,Banco Internacional,566431,EUR,05/08/2022
21541528-8,Fidel Gomez-Angulo,V9ONFG74F6,19596820-0,Apolinar Jose Antonio Parra Pulido,55,Banco Consorcio,8348884,CLP,11/10/2022
13500542-7,Samanta Galvez-Ríos,FL8XM59WNC,11340751-1,Leyre Larrañaga Losa,16,Banco Santander,8878785,CLP,04/11/2023
10262737-8,Galo Carrera,0VPHWE29PD,13157869-7,Eutimio Aragonés Páez,1,Banco de Chile,6269581,CLP,22/09/2022
22234299-3,Jesús Roca-Domingo,9I7CXOS80C,20763581-0,María Quiroga Alfonso,39,Banco Estado,8077125,EUR,15/06/2022
16614839-8,María Del Carmen Débora Carrión Yáñez,TUGA9Z42ZF,12715650-6,Sergio Cardona Campillo,1,Banco de Chile,8253114,EUR,27/07/2023
20518266-9,Octavio Marco Duarte,7ZOM08N6OB,21284986-4,José María Cuenca Belda,9,Banco Internacional,314971,USD,24/03/2024
17283191-6,Manu de Goñi,F43VRU44DR,12441444-8,Godofredo Montero Porta,16,Banco Santander,9135541,EUR,04/05/2023
16837945-7,Amancio Grande Girona,0RI0JHCZ4B,18924462-5,Gustavo Fabra Tomas,49,Banco Falabella,2930663,EUR,11/11/2023
11107119-5,Jaime Ayala,1HG6N1VUZK,16281389-6,Cebrián Isaías Jáuregui Cuenca,1,Banco de Chile,3356387,USD,24/03/2023
20068926-4,Juanita García-Valcárcel,GI7ZKBDLMR,11922807-9,Paulino Gallo Castejón,9,Banco Internacional,1059113,EUR,25/06/2022
20965683-1,José Ángel Javi Seco Vives,Z348NAA6EC,21075671-0,Abel Cadenas Niño,49,Banco Falabella,6179423,EUR,23/11/2023
